gameid,startTime,endTime,homeTeam,homeShots,awayTeam,awayShots
2015021040,"2016-03-16T01:37:54Z","2016-03-16T01:45:14Z","PIT",7,"NYI",2
2015021041,"2016-03-16T01:25:10Z","2016-03-16T01:30:50Z","WSH",2,"CAR",0
2015021044,"2016-03-16T02:06:04Z","2016-03-16T02:12:44Z","OTT",4,"MIN",1
2015021047,"2016-03-17T02:02:02Z","2016-03-17T02:09:18Z","BUF",5,"MTL",1
2015021060,"2016-03-18T05:11:00Z","2016-03-18T05:14:05Z","LAK",1,"NYR",0
2015021064,"2016-03-19T03:35:24Z","2016-03-19T03:45:00Z","CGY",1,"COL",2
2015021068,"2016-03-19T20:32:24Z","2016-03-19T20:41:35Z","MIN",1,"CAR",5
2015021078,"2016-03-20T21:41:05Z","2016-03-20T21:48:05Z","WPG",1,"ANA",4
2015021082,"2016-03-21T03:20:39Z","2016-03-21T03:31:45Z","CHI",1,"MIN",1
2015021090,"2016-03-23T01:45:03Z","2016-03-23T01:57:07Z","CBJ",8,"PHI",4
2015021104,"2016-03-25T02:09:12Z","2016-03-25T02:12:15Z","TOR",1,"ANA",1
2015021106,"2016-03-25T02:30:16Z","2016-03-25T02:37:31Z","NSH",6,"VAN",0
2015021112,"2016-03-26T01:30:58Z","2016-03-26T01:35:08Z","NJD",1,"WSH",2
2015021121,"2016-03-27T01:39:10Z","2016-03-27T01:44:51Z","OTT",3,"ANA",4
2015021124,"2016-03-27T01:29:29Z","2016-03-27T01:37:17Z","CAR",2,"NYI",3
2015021130,"2016-03-28T02:14:26Z","2016-03-28T02:22:36Z","NYR",0,"PIT",2
2015021132,"2016-03-29T01:34:52Z","2016-03-29T01:43:55Z","PHI",2,"WPG",2
2015021141,"2016-03-30T01:29:49Z","2016-03-30T01:37:21Z","NYI",2,"CAR",4
2015021142,"2016-03-30T01:44:48Z","2016-03-30T01:53:21Z","PIT",3,"BUF",5
2015021150,"2016-03-31T02:42:22Z","2016-03-31T02:56:29Z","PHI",3,"WSH",2
2015021164,"2016-04-02T02:44:56Z","2016-04-02T02:46:10Z","WPG",0,"CHI",3
2015021175,"2016-04-03T02:35:30Z","2016-04-03T02:44:14Z","NSH",1,"SJS",5
2015021188,"2016-04-06T01:32:10Z","2016-04-06T01:42:56Z","BOS",3,"CAR",1
2015021197,"2016-04-06T03:38:18Z","2016-04-06T03:40:03Z","CGY",0,"LAK",1
2015021198,"2016-04-06T04:33:39Z","2016-04-06T04:39:20Z","ANA",2,"WPG",1
2015021205,"2016-04-08T01:49:23Z","2016-04-08T01:55:42Z","PHI",0,"TOR",2
2015021206,"2016-04-08T01:36:01Z","2016-04-08T01:44:48Z","WSH",2,"PIT",3
2015021209,"2016-04-08T02:37:46Z","2016-04-08T02:39:18Z","NSH",1,"ARI",0
2015021210,"2016-04-08T03:02:42Z","2016-04-08T03:09:22Z","CHI",3,"STL",6
2015021223,"2016-04-10T01:34:55Z","2016-04-10T01:39:51Z","CBJ",1,"CHI",1
2015021225,"2016-04-10T02:03:08Z","2016-04-10T02:06:55Z","NYI",0,"BUF",1
2015021228,"2016-04-10T04:46:16Z","2016-04-10T04:52:38Z","VAN",4,"EDM",0
2015021229,"2016-04-10T04:43:28Z","2016-04-10T04:50:58Z","LAK",1,"WPG",3
